uidA,uidB,dist
0,126,2.115019367864581
1,1,2.960563322408693
3,397,1.852641248945409
4,0,3.0153858265310993
5,362,4.416599838029155
6,378,6.8205011959025565
7,187,3.611289222971875
9,21,3.6358032202205397
11,49,1.7326681745304693
12,55,1.9884244968208433
13,57,1.8855047874799542
14,48,2.974177356844634
15,38,3.814793589495059
16,47,0.7014787407088832
17,19,2.4146193163146914
18,99,2.8493062723776044
19,363,0.9473445490865626
20,367,1.8087056148179765
22,3,8.000900537589965
23,121,4.09502377954115
24,18,3.445213663125045
25,20,0.8368060307343739
26,331,8.554247364120359
27,24,0.3887919400524948
28,97,3.6781752036566226
30,8,0.392172979661013
31,145,1.3516137137456046
32,365,3.8391925006728407
33,366,0.25770577019887686
34,6,1.8417796045802115
35,7,2.486029511218439
37,373,2.991932090928383
38,39,2.9966578136836057
39,40,1.6120671018348725
40,374,0.9597709730165309
41,41,1.1783917226546166
42,309,0.7334539898693553
44,401,0.9669611815743071
45,58,5.0308785556640165
47,62,2.1316885848746834
48,61,2.686411700480315
49,213,2.886254655598759
50,73,1.502686044705927
51,79,1.4472142478021546
52,82,1.9573891812834174
53,84,2.583461577543501
54,46,3.27170413694296
56,382,4.24293002945502
57,125,2.7344109683644646
58,75,5.086925370140349
59,400,4.880764874018372
65,87,3.781897408568653
66,124,4.246089287845526
68,96,2.7631485822801736
69,90,2.654314927189105
70,402,3.092976272442702
71,89,2.3078808366412193
73,406,1.2387011135968466
74,94,3.0890399085510656
76,4,4.125006066335101
78,95,2.361434031266179
79,112,0.8403610538322759
80,109,1.7284189333531261
81,119,0.4985175477464494
82,118,0.9048463090386096
83,377,4.005072172836874
84,67,0.9258034349314528
85,113,5.950386084690306
86,130,2.0781079603017623
87,116,1.5397528691408582
89,64,3.4215670992756824
90,325,5.483540497112172
92,430,9.051146722443832
95,71,3.5876667593266687
96,72,2.004675939255843
97,78,2.7530582453641563
100,408,2.844817312823059
101,108,0.8038034511837603
102,142,1.29358164814741
103,143,3.0554932574857188
104,414,0.5388642897447908
106,230,9.142044673084188
107,151,1.9789605330421958
108,16,3.973843226057116
109,156,1.4909055296252915
110,155,1.9782081837870298
111,154,6.869976244265482
112,403,1.709355753842573
113,404,0.6823291950404845
114,340,2.1039565599443577
115,34,2.1186031238742484
116,56,2.0455383497633255
117,393,4.822542745682619
118,162,3.87523192336862
119,399,0.6395995257138312
123,302,7.711843967146004
127,74,0.7098103701995745
128,167,5.905731681317778
130,169,1.3186367224766848
131,313,4.159421486574663
133,175,3.934294386107476
134,174,0.2767224552554374
135,178,2.437418172147838
136,148,1.4074489357702409
137,189,4.289322458230039
138,190,2.337916318796851
141,131,3.67088222460183
142,194,2.597281933914818
143,65,1.849668372430984
145,398,2.389056453813212
146,383,3.5747128745049457
147,308,3.9413735043787725
151,17,1.4144074706292673
152,241,8.772560223709148
153,158,1.3670035505418012
154,292,1.5679352526378334
155,42,3.0139711921436025
157,214,8.284283751827
158,114,2.973160110892285
159,299,6.716659528638702
161,384,1.9353804460909294
164,204,3.641737931569609
165,206,0.9520417382742762
168,327,5.839965411701677
169,210,3.6868714740965913
171,111,1.906293856962817
172,409,3.3019034530427307
176,221,2.048367596679436
177,140,0.847658308302628
179,222,2.5486007061352747
183,364,3.347583352927924
185,418,2.7642512712076095
186,240,0.41600905786038833
187,200,3.7166534148979458
188,106,0.6225826785106577
191,83,5.5141024906050085
193,232,2.8515916118777063
194,233,2.1983388511593103
195,335,2.129663959154501
196,234,0.4051731482675703
197,193,7.9060641017035405
201,243,1.2966540702432767
202,422,1.4629572310264545
204,13,1.0589067009989843
205,88,2.2495354756909656
207,356,5.180012849148871
208,265,2.9475451347031716
209,100,2.961389231068659
211,269,1.001019752544509
212,270,3.4308650409036887
215,274,3.0619473404221407
217,290,2.3780212617457246
218,318,4.536972991665214
222,180,2.3452460269188187
224,128,1.0408948150043948
225,306,1.457073002251182
227,347,0.7779209505916169
228,236,8.810391046221257
229,307,2.1067625390145017
231,282,5.643360126288803
232,352,2.615571405695913
234,152,2.189605462152049
237,218,3.3762752068604662
239,275,0.9443675014727307
240,338,4.657332081419961
241,337,6.305499998303473
242,33,3.699830234956508
245,394,1.289108853212007
246,98,7.651558466598491
247,344,2.2349479674922414
248,262,1.4006337876505468
254,224,7.890348276922392
255,23,5.125775077339324
257,31,0.43697959727014224
258,29,1.9193896352427835
260,43,2.2521968403602406
264,433,0.1291633103639914
267,12,3.124466679470653
270,120,0.7144960543498604
271,256,7.902642768869372
272,301,6.170644338775624
273,149,4.314029421545051
275,375,1.2661011458960578
276,104,2.190588936319996
279,349,7.99160431043665
282,369,4.129090122974294
283,333,3.120547271919361
284,183,0.16246481836111187
285,188,5.958888390977005
286,379,9.931477016191796
288,421,4.7252597990315035
289,201,0.6990608912429315
290,52,2.1984896299524497
295,170,1.3016874514850627
300,245,2.1679977400648074
302,388,1.9742689152483994
304,172,5.195517550385784
305,252,6.202437937792078
306,249,1.9623277684473175
307,250,0.6969216020977722
309,336,9.71934994846753
311,253,2.579731410091785
312,199,2.74457780100939
313,255,4.260699802361144
315,258,4.7623148097698085
317,77,2.0606320365575517
318,350,6.757917776583895
319,168,4.056006851688647
323,381,3.6410925217440147
325,251,5.512878424116307
327,205,5.31942398500586
330,277,3.1853199783385184
332,285,1.9321200527025024
334,137,3.202333034690812
337,212,0.3158831294288301
338,223,5.416249350467387
339,27,4.592096151040047
340,54,3.3549607674070807
344,296,0.8438082117477896
346,380,2.1717644875276108
347,312,2.268533805520128
348,280,1.434892764150229
349,70,2.439577589463688
351,324,3.183730675845266
352,435,2.775032415189525
353,334,1.7457550867088296
356,345,4.915570223888538
357,353,2.3037267348137718
360,357,2.6311971200840216
361,358,0.8555318307727735
362,359,2.6442222702337785
363,254,9.356354463608769
365,242,2.89065821207528
